Nov 20, 2024 26.04 9.18 3.86
Nov 21, 2024 24.87 7.87 3.67
Nov 22, 2024 23.23 3.15 3.69
Nov 23, 2024 24.75 3.33 3.69
Nov 24, 2024 22.06 3.28 4.05
Nov 25, 2024 21.80 3.25 3.95
Nov 26, 2024 20.29 3.24 3.48
Nov 27, 2024 17.12 3.14 3.72
Nov 28, 2024 11.47 3.04 3.87
Nov 29, 2024 23.24 3.18 3.68
Nov 30, 2024 16.91 2.90 3.72
Dec 01, 2024 17.33 2.97 3.91
Dec 02, 2024 23.13 3.03 3.63
Dec 03, 2024 9.91 4.02  3.34
Dec 04, 2024 2.68 6.78  0.65
Dec 05, 2024 4.60 8.20  1.25
Dec 06, 2024 9.19 11.05 3.49
Dec 07, 2024 1.42 17.63 0.36
Dec 08, 2024 4.51 6.77  1.65
Dec 09, 2024 23.17 12.61 3.63
Dec 10, 2024 15.96 7.34 3.83
Dec 11, 2024 25.11 5.58 3.76
Dec 12, 2024 22.01 10.24 3.87
Dec 13, 2024 2.15 6.20  0.45
Dec 14, 2024 12.00 12.92 3.75
Dec 15, 2024 8.13 14.19 3.38
Dec 16, 2024 12.04 14.99 3.60
Dec 17, 2024 13.16 19.59 3.82
Dec 18, 2024 21.05 18.79 3.63
Dec 19, 2024 23.54 7.59 3.62
Dec 20, 2024 24.10 5.58 3.64
Dec 21, 2024 23.38 5.35 3.61
Dec 22, 2024 19.35 5.07 3.63
Dec 23, 2024 14.83 5.23 3.50
Dec 24, 2024 8.26 5.10  3.36
Dec 25, 2024 2.68 4.92  0.65
Dec 26, 2024 12.40 5.20 3.63
Dec 27, 2024 22.66 5.24 3.66
Dec 28, 2024 16.95 5.20 3.68
Dec 29, 2024 22.76 5.38 3.60
Dec 30, 2024 24.19 5.30 3.69
Dec 31, 2024 24.55 5.25 3.70
